queue #,download page,title (Persian),title (English),year,duration,save as,what to look for
1,https://www.aparat.com/v/b41pb1n,اتفاقات رادیویی (برای آنسامبل),Radio Events (for ensemble),n.d. (up. 2020),7:16,~/Media/zankyo-broadcast-src/ir-radio-events-ensemble.mp4,timing: audition — ensemble tuning radios on stage; dial-sweep static as an instrument; a player's hands on a receiver; the conductor cueing a band of noise; a held silence broken by a station; LONG: a 20–30 s stretch of the ensemble hunting stations together
4,https://www.aparat.com/v/Im3yY,راه اندازی اولین مرکز کامپیوتر در ایران ۱۳۵۰,"Setting up the first computer centre in Iran, 1350 (1971)",1971 (up. 2016),3:24,~/Media/zankyo-broadcast-src/ir-first-computer-centre-1971.mp4,timing: audition — the mainframe cabinets being walked past; tape drives spinning; an engineer at a console; a room of card punches; the narrator dating it to 1350; LONG: 18–25 s of the machine running with no speech
5,https://www.aparat.com/v/h355x75,داستان زندگی آهنگ ساز الکترونیک Bohdan Mazurek,The life of the electronic composer Bohdan Mazurek,n.d. (up. 2019),19:29,~/Media/zankyo-broadcast-src/ir-mazurek-electronic-composer.mp4,"timing: audition — the Polish Radio Experimental Studio room; tape being spliced by hand; oscillator banks; Mazurek at the desk; a passage of the music alone; LONG: 20–30 s of studio work under the music (speech or picture, never a whole piece)"
6,https://www.aparat.com/v/e55656j,جان کیج ۴:۳۳ — سلام ریاضی,John Cage 4'33″ — Salam Riazy,n.d. (up. 2020),5:37,~/Media/zankyo-broadcast-src/ir-cage-433-salam-riazy.mp4,"timing: audition — the pianist sitting down and not playing; the stopwatch; the room's own noise as the piece; the Persian explainer over it; the three movements marked; LONG: 18–25 s of the ""silence"" with the audience audible"
7,https://www.aparat.com/v/7LWTa,لحظات — لحظه‌ی جان کیج (قسمت اول),"Moments — the John Cage moment, part 1",n.d. (up. 2019),4:00,~/Media/zankyo-broadcast-src/ir-cage-moment-pt1.mp4,timing: audition — a Persian essayist introducing Cage; prepared-piano sound; the I Ching described; a chance-operation score on screen; LONG: 18–25 s of the music under the narration
8,https://www.aparat.com/v/x8394n2,لحظات — لحظه‌ی جان کیج (قسمت دوم و پایانی),"…part 2, final",n.d. (up. 2019),4:47,~/Media/zankyo-broadcast-src/ir-cage-moment-pt2.mp4,timing: audition — the essay's close; 4′33″ referenced; a passage of Cage alone; the sign-off of the programme
9,https://www.aparat.com/v/f10ogjf,آهنگ ساز الکترونیک Ryszard Szeremeta در سال ۱۹۸۴,The electronic composer Ryszard Szeremeta in 1984,1984 (up. 2019),16:17,~/Media/zankyo-broadcast-src/ir-szeremeta-1984.mp4,timing: audition — 1984 studio hardware; sequencer patterns building; the composer speaking to camera; a video-synth image; LONG: 20–30 s of the machine making the music
13,https://www.aparat.com/v/3Nd4h,کوارتت هلیکوپتر — اشتوکهاوزن,Helicopter String Quartet — Stockhausen,n.d. (up. 2018),2:23,~/Media/zankyo-broadcast-src/ir-stockhausen-helicopter-quartet.mp4,timing: audition — four helicopters lifting; a player bowing inside a cabin; rotor noise mixed with strings; the mixing desk on the ground; LONG: 18–25 s of rotors and strings together
14,https://www.aparat.com/v/siRw2,اجرای موسیقی مدرن و آوانگارد در نیویورک در سال ۱۹۹۵,"A performance of modern and avant-garde music in New York, 1995",1995 (up. 2015),24:46,~/Media/zankyo-broadcast-src/ir-avantgarde-new-york-1995.mp4,timing: audition — extended technique on a prepared instrument; an electronics table; the audience still; a performer counting silence; LONG: 20–30 s of one uninterrupted passage
17,https://www.aparat.com/v/q652u5p,اولین کامپیوتر ایران ۱۳۵۰,"Iran's first computer, 1350 (1971)",1971 (up. 2020),1:27,~/Media/zankyo-broadcast-src/ir-first-computer-1971.mp4,timing: audition — the machine unveiled; a cabinet door open on the logic; an operator's hands; the dating caption; LONG: n/a (too short)
